Time	stat-140323-165754-Porta80-1.txt	stat-140323-170110-Porta80-2.txt	stat-140323-170443-Porta80-3.txt	stat-140323-170827-Porta80-4.txt	stat-140323-171146-Porta80-5.txt	stat-140323-171538-Porta80-6.txt	stat-140323-172116-Porta80-7.txt	stat-140323-172430-Porta80-8.txt	stat-140323-175630-Porta80-9.txt	stat-140323-180112-Porta80-10.txt	stat-140323-180435-Porta80-11.txt	stat-140323-181113-Porta80-12.txt	stat-140323-181502-Porta80-13.txt	stat-140323-181815-Porta80-14.txt	stat-140323-182337-Porta80-15.txt	stat-140323-182724-Porta80-16.txt	stat-140323-183053-Porta80-17.txt	stat-140323-183416-Porta80-18.txt	stat-140323-184039-Porta80-19.txt	stat-140323-211037-Porta80-20.txt	stat-140323-211944-Porta80-21.txt	stat-140323-212256-Porta80-22.txt	stat-140323-212658-Porta80-23.txt	stat-140323-213104-Porta80-24.txt	stat-140323-213427-Porta80-25.txt	stat-140323-213801-Porta80-26.txt	stat-140323-214220-Porta80-27.txt	stat-140323-214643-Porta80-28.txt	stat-140323-215116-Porta80-29.txt	stat-140323-215431-Porta80-30.txt
0	887	1000	973	937	673	744	943	810	900	1148	695	743	1290	690	661	732	905	986	1142	818	1078	1023	847	887	557	1136	831	663	922	769	
1	842	1159	863	967	899	676	646	1130	937	581	962	1308	848	668	963	794	777	845	1217	865	819	854	847	1020	830	939	983	1047	799	1685	
2	968	770	603	766	916	795	1134	861	897	859	1092	865	849	543	699	981	964	565	749	1123	1107	878	794	690	914	921	780	757	1363	951	
3	1097	946	817	586	1123	913	1205	626	1004	1072	784	748	1151	991	823	1004	854	979	959	685	671	464	1005	965	521	822	963	913	1303	1075	
4	878	749	510	1598	901	1040	588	958	915	846	912	992	834	808	634	1422	866	643	937	1105	718	883	831	612	865	778	1048	586	807	1268	
5	719	0	917	845	629	869	685	1107	616	0	580	728	888	868	725	848	1142	722	58	812	797	1048	829	1153	1290	1177	1018	765	1024	816	
6	1073	470	905	879	950	665	1347	781	1046	525	203	860	1263	808	1016	1026	654	823	849	804	1018	692	991	940	1203	941	1010	1402	1042	842	
7	880	836	643	979	1099	778	695	1368	1098	1283	1000	907	1080	727	941	987	864	1097	670	1135	979	1220	1272	966	880	442	789	875	1149	752	
8	1158	783	922	1170	1056	958	674	888	1186	1010	1208	952	907	745	655	748	1206	1008	1049	907	654	762	1030	733	950	713	1317	1073	1251	1123	
9	648	1040	747	678	713	1075	800	620	521	841	916	489	856	978	842	1069	1005	870	943	1072	1001	845	715	1003	981	1169	978	655	569	786	
10	289	1429	565	0	1284	679	702	601	321	1025	469	906	743	937	851	1250	1329	1131	1150	884	543	933	901	801	0	1041	780	695	825	0	
11	946	1086	1137	265	796	555	984	1030	1135	1050	0	727	1256	751	660	812	969	829	963	1012	708	1448	1144	876	0	809	351	949	844	203	
12	1030	1054	633	879	744	805	1083	665	843	756	0	819	0	932	584	733	816	142	754	1146	746	1066	1042	866	814	636	0	1000	1275	817	
13	992	930	1109	743	773	697	633	852	647	728	511	836	0	803	1110	1048	1056	1195	558	786	935	149	815	968	1029	1055	0	1175	722	827	
14	919	588	732	922	869	746	640	617	572	1057	991	1015	563	889	1099	588	920	321	850	1009	528	0	1020	790	1011	614	0	747	542	905	
15	0	946	958	0	0	974	0	0	0	0	931	151	883	0	1072	65	0	659	0	281	1041	0	839	0	0	0	0	0	0	0	
16	0	1186	1296	50	825	872	0	0	537	43	818	745	832	0	892	975	0	870	0	771	1324	763	955	154	0	873	0	0	0	0	
17	1008	818	994	1103	1032	875	734	16	714	741	897	1161	791	0	1112	1197	8	0	195	1220	1016	1037	778	1067	856	1121	778	0	545	867	
