Time	stat-140323-165754-Porta90-1.txt	stat-140323-170110-Porta90-2.txt	stat-140323-170443-Porta90-3.txt	stat-140323-170827-Porta90-4.txt	stat-140323-171146-Porta90-5.txt	stat-140323-171538-Porta90-6.txt	stat-140323-172116-Porta90-7.txt	stat-140323-172430-Porta90-8.txt	stat-140323-175630-Porta90-9.txt	stat-140323-180112-Porta90-10.txt	stat-140323-180435-Porta90-11.txt	stat-140323-181113-Porta90-12.txt	stat-140323-181502-Porta90-13.txt	stat-140323-181815-Porta90-14.txt	stat-140323-182337-Porta90-15.txt	stat-140323-182724-Porta90-16.txt	stat-140323-183053-Porta90-17.txt	stat-140323-183416-Porta90-18.txt	stat-140323-184039-Porta90-19.txt	stat-140323-211037-Porta90-20.txt	stat-140323-211944-Porta90-21.txt	stat-140323-212256-Porta90-22.txt	stat-140323-212658-Porta90-23.txt	stat-140323-213104-Porta90-24.txt	stat-140323-213427-Porta90-25.txt	stat-140323-213801-Porta90-26.txt	stat-140323-214220-Porta90-27.txt	stat-140323-214643-Porta90-28.txt	stat-140323-215116-Porta90-29.txt	stat-140323-215431-Porta90-30.txt
0	1212336	1342888	1720236	1419136	2710068	1623424	1560920	1516276	833960	1347648	1160976	1238712	1727748	1109204	1527956	1597588	1038172	1053440	1327324	1237656	1223120	1380784	1767952	1271944	2628620	758056	1544624	1385428	1827568	1157416	
1	1890524	1561644	1764212	1751188	857156	1545516	1595988	1126276	996500	1675128	1123644	1696880	1532564	978484	1243192	1130580	1564924	1102252	1578316	1141168	900880	1497460	1136288	1133028	1900308	1464244	1950000	1051164	1402208	1390888	
2	1289704	1022456	1352672	1177256	1465036	1151256	1342288	602516	1672392	1466204	934296	1287740	1396124	1432736	1620000	1140956	1630304	1289484	1375476	1592556	1040192	2135704	1071668	1402680	1549816	1426640	1230532	1951928	1709812	1476152	
3	1041808	1729160	1014984	1189196	1533824	1506552	1455684	728136	891108	1685160	1198892	1287732	1465360	1753240	1683840	1329724	1240248	1321116	1186960	1545108	1764124	764948	1387800	1347648	1455528	1788092	1707144	1698036	1514596	1512784	
4	1127664	1201688	1513992	1577288	1397888	1276888	1736180	1036664	711920	556892	1623340	1157396	1147976	1819684	1086324	1261120	1373728	1299800	1021440	1322080	1478264	1187848	1119644	1614592	1655312	1464884	1494588	1472944	1189884	1354956	
5	1267980	0	2027956	1412604	1485424	1334092	1145736	1111140	931424	0	899284	1726828	2090644	1317880	1627660	1207920	1468128	1211252	193104	1839616	1305880	1442824	1763896	1648048	1697264	1200392	1903528	1687200	1090240	1807816	
6	1758476	573852	1216576	2311492	1501056	1567332	1874648	1728792	1749252	1142656	983740	1068912	1211116	1742952	1588428	1900944	941280	1612840	1438164	1281956	1671592	1244320	1468236	1561572	1752700	1407632	1128072	1318196	2030228	1884572	
7	1098060	1744516	1620732	1437648	1376432	1260460	1339836	1216972	2167460	1692148	1041024	2201364	2076168	1972204	744336	1157496	1482232	1314140	1058780	1115568	1380424	2239356	1531604	1312964	1973556	1719208	1350464	2185632	1628076	1485524	
8	1006496	1247420	1511292	1812240	1485080	1425412	1395692	1230508	1019300	1474364	1330020	1113880	1162484	1305280	1392684	1175924	1767140	1391504	1565868	1387068	1592496	1007404	1247312	929632	1222100	1635140	1362828	1167772	1366260	1464016	
9	1026856	1486056	1252760	1207220	2219500	1304544	2312508	782732	844600	1305044	1421692	1606788	1458484	959524	2016904	1479172	1505840	1619960	1204380	1771936	1701884	1444828	1414188	1357428	1601556	1272008	1792232	1317996	1214024	1059112	
