Time	stat-140324-215045-1.txt	stat-140324-215400-2.txt	stat-140324-215740-3.txt	stat-140324-220048-4.txt	stat-140324-220727-5.txt	stat-140324-221443-6.txt	stat-140324-221754-7.txt	stat-140324-222108-8.txt	stat-140324-222754-9.txt	stat-140324-223355-10.txt	stat-140324-224244-11.txt	stat-140324-224605-12.txt	stat-140324-224929-13.txt	stat-140326-131558-14.txt	stat-140326-131856-15.txt	stat-140326-132316-16.txt
0	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	
1	0	0	4	0	4	1	1	0	0	4	4	1	0	0	2	1	
2	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	
3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
4	5	5	0	5	0	5	5	6	5	0	0	5	5	4	5	4	
5	0	2	0	2	0	2	2	0	0	0	0	0	0	2	2	2	
6	0	0	2	0	2	0	0	0	0	2	2	2	0	0	0	0	
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	2	2	0	2	0	2	2	2	2	0	0	2	2	2	2	2	
10	0	0	168	0	160	0	0	0	0	180	142	0	0	0	0	0	
11	0	0	220	0	212	0	0	0	0	224	74	0	0	0	0	0	
12	0	0	210	0	182	0	0	0	0	230	0	0	0	0	0	0	
13	2	0	4	2	8	58	0	68	48	234	6	92	88	62	8	152	
14	222	222	8	198	8	194	174	216	216	226	6	230	224	272	268	246	
15	226	226	6	182	2	202	198	232	220	120	6	230	232	242	252	248	
16	232	212	12	200	4	116	186	214	126	10	0	222	44	250	242	250	
17	146	4	12	48	6	56	36	228	10	0	8	236	6	248	244	162	
18	12	0	0	4	0	154	12	118	12	0	2	90	4	58	240	28	
19	20	0	0	0	0	194	8	16	18	0	4	10	14	10	22	18	
20	214	0	0	0	0	212	10	12	10	0	0	4	6	10	16	14	
21	220	0	0	0	0	174	0	10	0	0	8	14	0	14	14	12	
22	226	0	0	0	0	88	2	18	0	0	4	8	2	14	8	0	
23	188	0	0	0	0	44	0	4	0	0	4	4	2	0	8	2	
24	30	0	0	0	0	150	0	0	0	0	4	0	2	0	0	0	
25	36	0	0	0	0	100	0	0	0	0	10	0	0	2	0	0	
26	152	0	0	0	0	20	0	0	0	0	8	0	0	0	4	2	
27	244	0	0	0	0	26	0	0	0	2	10	0	0	2	0	0	
28	218	0	0	0	0	44	0	0	0	0	4	0	0	2	2	0	
