Time	stat-140325-204135-1.txt	stat-140325-204419-2.txt	stat-140325-204702-3.txt	stat-140325-204945-4.txt	stat-140325-205228-5.txt	stat-140325-205510-6.txt	stat-140325-205753-7.txt	stat-140325-210036-8.txt	stat-140325-210320-9.txt	stat-140325-210603-10.txt	stat-140325-210846-11.txt	stat-140325-211130-12.txt	stat-140325-211413-13.txt	stat-140325-211657-14.txt	stat-140325-211940-15.txt	stat-140325-212223-16.txt
0	3	3	2	1	4	2	2	4	3	3	2	2	3	3	2	2	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	1	1	2	0	1	1	0	1	1	0	0	0	1	0	1	
3	1	0	1	1	2	1	1	2	2	1	1	1	0	0	2	1	
4	4	8	6	4	6	6	3	2	6	6	6	6	7	7	5	6	
5	3	2	2	2	2	2	4	4	2	2	2	2	2	2	2	2	
6	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
8	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	
9	0	2	2	2	2	2	0	0	2	2	2	2	0	2	2	2	
10	2	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	21	36	160	61	34	0	0	29	85	3	0	0	5	20	38	
13	224	221	213	229	236	211	190	213	232	215	184	210	205	214	219	227	
14	220	216	223	232	226	236	225	220	221	226	218	188	230	227	232	239	
15	205	238	229	232	220	221	230	224	229	241	225	226	217	232	223	229	
16	233	237	226	229	229	249	235	245	209	215	220	230	227	225	233	226	
17	236	224	228	233	239	246	233	244	230	236	246	244	247	223	215	213	
18	213	235	215	248	231	231	224	240	237	232	234	245	216	253	224	218	
19	232	226	227	225	218	223	238	233	240	246	228	232	227	224	221	192	
20	221	236	229	224	235	244	217	217	232	234	229	225	223	235	214	38	
21	227	238	222	246	230	229	236	230	238	221	234	225	199	223	220	230	
22	228	236	232	237	236	230	230	222	227	249	237	244	235	231	218	215	
23	234	230	235	248	240	241	250	234	226	224	241	238	227	232	238	216	
24	246	241	227	245	233	250	239	225	245	211	248	240	227	218	230	219	
25	221	237	242	227	233	236	224	242	238	246	232	227	229	238	238	231	
26	236	244	250	236	229	232	237	231	228	221	247	226	228	232	225	232	
27	237	231	241	231	227	223	206	201	235	213	223	211	211	223	226	236	
28	228	221	217	238	233	241	156	225	236	232	218	227	218	216	232	238	
29	232	231	236	238	234	241	144	238	235	239	243	240	218	239	229	228	
30	188	229	242	227	250	231	240	246	249	241	217	224	246	215	231	223	
31	205	231	208	226	238	238	226	243	234	221	226	236	237	223	222	230	
32	237	229	229	242	244	240	240	244	242	229	222	235	239	232	216	230	
33	232	225	240	235	234	232	231	243	228	226	241	208	243	229	227	232	
34	240	227	231	237	243	239	219	233	214	232	209	207	232	221	228	223	
35	225	224	239	242	236	225	231	227	236	240	250	243	227	236	239	244	
36	237	243	237	233	248	230	221	219	238	223	227	228	210	248	199	236	
37	236	232	238	241	230	250	226	229	251	227	229	223	243	247	232	228	
38	226	230	240	248	244	233	231	236	233	231	222	230	242	242	227	213	
39	238	233	222	237	220	225	243	235	232	230	230	223	236	214	223	221	
40	230	220	231	230	226	224	237	222	223	225	234	242	223	228	247	233	
41	241	218	228	240	235	229	225	224	217	230	222	225	198	241	230	229	
42	214	238	220	230	245	231	230	224	235	234	228	238	211	233	232	229	
43	237	231	218	233	229	214	226	224	246	249	236	235	241	218	241	245	
44	237	230	232	243	227	229	231	232	228	241	217	216	233	247	237	242	
45	198	230	232	232	234	229	230	235	229	235	229	201	222	234	239	212	
46	213	241	244	229	245	221	227	236	235	228	235	232	228	244	235	236	
47	250	224	240	198	230	235	239	241	241	236	227	236	237	243	223	239	
48	231	234	222	232	254	228	222	234	240	229	218	229	221	248	234	219	
49	227	229	239	219	239	221	224	259	229	240	248	221	242	237	231	229	
50	239	238	227	214	237	243	247	244	241	232	221	234	248	234	221	221	
51	246	236	237	225	238	243	221	246	239	237	242	206	230	235	240	238	
52	232	245	229	236	235	230	244	236	249	237	212	218	229	248	238	218	
53	234	237	238	247	226	243	246	222	235	240	223	236	241	225	246	231	
54	232	218	239	246	240	241	227	227	230	224	231	242	218	241	210	222	
55	237	240	231	225	254	230	245	226	246	253	242	240	238	251	236	221	
56	225	242	239	225	235	240	226	236	237	230	210	217	231	225	246	220	
57	235	222	213	221	242	239	239	224	230	229	233	224	223	232	237	218	
58	237	245	233	245	233	238	218	236	215	226	230	232	229	217	238	241	
59	232	243	226	241	223	254	226	240	219	232	234	220	243	235	229	240	
60	214	236	239	241	244	240	218	237	234	238	210	236	224	233	225	238	
61	212	224	239	232	231	226	223	229	224	232	248	229	243	235	245	243	
62	245	229	224	210	243	244	235	228	221	221	234	231	231	242	239	237	
63	238	221	230	242	245	235	229	223	236	229	233	234	223	238	236	236	
64	243	233	225	237	227	238	207	233	226	241	224	233	226	233	211	234	
65	225	253	241	236	243	238	222	227	248	242	233	234	217	229	224	236	
66	232	244	239	230	247	223	235	237	224	238	249	245	232	240	242	232	
67	239	214	236	235	232	248	237	229	241	247	237	229	236	222	217	242	
68	250	229	231	251	222	221	233	235	226	230	230	259	237	244	233	247	
69	248	230	238	221	223	221	249	235	221	223	234	242	247	230	233	224	
70	232	229	224	236	234	231	215	209	220	227	226	230	228	204	227	224	
71	212	230	225	219	246	238	238	233	233	242	232	234	239	224	219	244	
72	223	239	245	227	244	235	228	241	247	246	227	239	244	233	246	230	
73	228	236	225	238	227	244	245	235	238	240	242	227	237	244	240	234	
74	224	232	232	232	259	228	226	243	243	228	224	231	235	235	242	234	
75	224	222	227	245	238	253	232	227	217	225	253	231	223	235	220	242	
76	221	231	227	223	235	233	239	230	240	225	239	244	216	225	242	254	
77	223	228	236	238	235	235	231	222	237	225	235	232	223	230	227	234	
78	228	235	230	253	231	231	234	239	233	234	225	236	240	239	229	233	
79	232	209	234	231	249	249	226	233	232	229	217	220	228	244	228	229	
80	238	245	207	227	232	223	228	212	247	220	244	237	250	234	242	227	
81	223	228	227	232	225	231	234	251	238	217	237	230	237	227	221	240	
82	239	233	239	239	234	231	247	234	234	242	240	245	242	236	227	251	
83	245	236	241	224	233	243	232	230	232	241	251	239	236	230	226	235	
84	245	219	237	229	221	219	229	237	217	237	222	231	241	225	225	238	
85	240	244	253	241	227	224	233	223	218	226	251	243	222	227	231	242	
86	235	229	238	245	241	227	232	207	235	234	240	241	231	239	254	246	
87	233	243	237	223	239	235	225	231	234	233	217	222	229	231	236	236	
88	233	242	219	241	233	238	223	243	234	231	208	228	230	240	228	230	
89	221	221	241	244	246	242	239	233	228	234	233	228	238	222	228	229	
90	241	234	217	224	222	219	234	242	246	239	255	254	241	244	227	226	
91	228	239	246	219	234	232	222	222	222	253	229	223	236	231	229	220	
92	234	241	234	240	238	223	227	246	244	236	235	236	232	231	246	230	
93	237	232	220	241	236	248	240	235	220	239	247	244	240	237	232	237	
94	236	238	228	232	239	237	237	244	227	230	237	241	227	237	236	234	
95	229	191	253	228	225	230	235	257	239	232	234	227	241	227	232	227	
96	232	239	248	238	237	247	231	230	231	224	216	242	245	234	228	235	
97	231	235	243	227	185	245	243	232	234	231	236	245	242	238	256	213	
98	232	228	216	0	0	80	246	241	195	168	238	228	235	236	221	220	
99	199	58	39	0	0	0	172	24	0	2	127	147	157	4	163	101	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
107	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
108	0	0	0	2	2	2	0	0	2	2	0	0	0	0	0	0	
109	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	
110	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
111	2	2	2	-	0	2	2	2	2	2	2	2	2	2	2	2	
