Time	stat-140325-204135-1.txt	stat-140325-204419-2.txt	stat-140325-204702-3.txt	stat-140325-204945-4.txt	stat-140325-205228-5.txt	stat-140325-205510-6.txt	stat-140325-205753-7.txt	stat-140325-210036-8.txt	stat-140325-210320-9.txt	stat-140325-210603-10.txt	stat-140325-210846-11.txt	stat-140325-211130-12.txt	stat-140325-211413-13.txt	stat-140325-211657-14.txt	stat-140325-211940-15.txt	stat-140325-212223-16.txt
0	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	
1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
2	0	0	4	0	0	4	0	1	0	0	0	0	0	0	0	0	
3	1	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	
4	5	5	2	5	5	2	5	5	5	5	5	5	5	6	0	5	
5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	
6	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	
7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
9	2	2	0	1	2	0	2	2	2	2	2	2	2	2	0	2	
10	0	0	96	1	0	116	0	0	0	0	0	0	0	0	2	0	
11	0	0	224	0	0	212	0	0	0	0	0	0	0	0	0	0	
12	108	0	214	0	8	248	24	44	10	30	6	24	38	22	0	0	
13	230	214	234	208	214	200	206	232	232	216	186	212	224	216	196	216	
14	214	216	228	232	232	276	224	220	224	232	216	194	226	228	230	234	
15	216	234	224	232	218	230	238	234	224	228	228	224	220	234	222	240	
16	230	232	214	222	232	238	234	248	214	224	218	234	228	224	240	220	
17	226	232	230	230	230	226	230	242	226	232	248	246	246	222	218	218	
18	222	232	218	246	228	232	232	244	238	230	230	240	216	250	218	214	
19	232	230	238	244	236	232	232	210	240	248	230	236	222	226	222	228	
20	224	236	226	218	224	242	220	230	232	232	228	224	214	238	214	17	
21	230	240	236	226	224	246	232	228	240	220	234	218	214	222	216	216	
22	230	232	226	252	238	240	228	222	226	246	240	252	230	230	220	222	
23	236	236	248	236	244	240	252	234	226	236	238	236	234	230	234	214	
24	232	236	234	252	234	222	236	232	248	208	248	238	224	220	236	218	
25	230	240	242	240	232	230	228	240	234	236	234	220	228	242	234	232	
26	230	238	226	232	240	241	234	214	230	228	246	232	224	216	230	238	
27	232	230	238	232	218	235	202	210	236	214	224	212	210	234	218	232	
28	234	228	220	232	226	246	123	234	234	230	218	224	224	226	230	234	
29	216	226	222	234	240	226	194	240	236	240	240	232	226	226	232	228	
30	194	234	234	238	244	242	232	240	250	240	220	230	242	212	240	234	
31	222	226	236	216	240	232	234	248	238	226	228	242	234	228	208	220	
32	234	230	238	236	246	238	234	242	238	220	218	230	244	234	226	228	
33	234	228	236	244	234	222	230	240	230	228	242	210	236	232	224	238	
34	226	226	236	234	240	244	218	224	216	240	210	216	234	222	228	214	
35	240	224	242	234	230	242	236	234	234	242	252	236	224	238	226	250	
36	232	240	226	244	252	226	224	216	232	226	222	228	214	246	224	234	
37	236	236	238	230	236	220	224	234	256	218	234	220	244	248	222	228	
38	232	232	224	250	240	236	232	232	228	230	220	230	238	236	220	222	
39	230	228	226	246	226	226	242	230	232	234	234	226	232	218	228	212	
40	238	226	226	240	230	222	222	220	226	232	232	244	230	228	242	226	
41	228	214	214	230	230	222	232	230	220	216	222	220	180	244	232	238	
42	224	232	246	234	240	228	236	224	228	244	222	244	226	230	227	230	
43	240	234	224	230	234	220	226	232	250	242	238	226	252	224	243	240	
44	220	230	246	240	228	238	232	226	230	250	218	226	218	240	242	244	
45	200	230	234	238	232	228	232	244	224	222	230	204	234	236	234	220	
46	238	234	233	223	242	226	224	236	236	236	234	226	216	248	238	232	
47	244	232	225	225	234	230	230	226	244	236	230	238	242	242	224	236	
48	226	242	230	214	242	244	230	254	236	230	214	228	222	246	228	224	
49	236	218	242	230	252	232	228	246	238	236	248	226	248	234	232	222	
50	230	238	222	210	234	236	242	252	236	226	222	228	234	238	242	220	
51	238	240	244	224	244	242	220	242	240	242	242	202	240	234	224	238	
52	234	242	242	226	232	246	254	222	248	234	214	222	230	246	238	222	
53	234	238	228	232	226	216	236	238	236	250	226	238	234	222	244	226	
54	234	226	230	256	240	252	236	234	228	230	230	244	224	244	214	236	
55	228	238	214	232	250	238	244	210	248	240	238	228	242	246	236	212	
56	230	236	234	234	238	238	226	240	236	234	214	226	222	230	244	222	
57	234	228	236	218	240	254	230	232	226	228	232	228	224	226	228	220	
58	236	242	232	226	233	242	220	240	218	232	228	232	226	232	242	240	
59	228	242	238	246	224	226	228	234	220	224	232	208	250	228	230	228	
60	210	236	218	244	232	236	206	236	234	240	214	244	228	228	242	252	
61	234	232	236	238	234	250	242	228	226	236	248	228	234	240	230	242	
62	242	228	230	222	238	236	228	212	224	214	236	236	234	244	236	226	
63	236	218	246	212	256	234	224	250	234	230	230	226	224	234	246	244	
64	232	230	232	248	226	226	213	218	226	240	224	238	228	236	210	232	
65	218	248	240	235	240	237	225	228	244	242	232	234	216	224	224	240	
66	250	236	238	239	242	223	232	229	226	246	248	248	240	248	240	230	
67	246	228	220	224	242	220	240	239	236	242	238	228	236	220	224	242	
68	238	232	232	246	226	228	234	234	232	228	234	252	226	238	224	246	
69	246	224	232	248	226	256	246	234	222	230	234	248	244	228	228	222	
70	230	230	240	218	226	226	212	216	218	222	222	222	230	212	236	226	
71	216	226	228	230	238	240	242	224	230	240	232	240	232	224	218	246	
72	224	244	230	224	248	240	226	244	250	248	228	244	252	230	242	238	
73	220	238	228	228	236	244	250	236	240	246	242	226	246	244	236	232	
74	220	228	222	240	244	234	222	244	242	226	224	226	226	234	252	232	
75	232	222	242	228	244	233	232	228	216	232	254	234	226	236	218	238	
76	218	228	224	248	238	237	242	228	234	226	236	242	202	226	242	250	
77	232	228	232	214	238	238	232	218	244	218	236	224	234	226	228	232	
78	226	234	208	246	236	230	234	244	234	232	224	246	238	242	230	242	
79	226	216	232	254	242	228	222	212	236	228	218	220	236	242	226	224	
