Time	stat-140325-072553-1.txt	stat-140325-073043-2.txt	stat-140325-073643-3.txt	stat-140325-073933-4.txt	stat-140325-074602-5.txt	stat-140325-074909-6.txt	stat-140325-075536-7.txt	stat-140325-080500-8.txt	stat-140325-080750-9.txt	stat-140325-081057-10.txt	stat-140325-081422-11.txt	stat-140325-081744-12.txt	stat-140325-082111-13.txt	stat-140326-121557-14.txt	stat-140326-121911-15.txt	stat-140326-122246-16.txt
0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	5	3	
1	1	0	0	0	0	0	1	0	4	0	1	0	0	0	0	2	
2	0	0	0	1	0	1	0	0	2	0	4	1	1	0	1	0	
3	0	0	0	0	0	0	0	0	1	0	1	0	4	2	0	1	
4	5	5	5	4	5	5	5	5	1	5	1	5	2	0	5	0	
5	2	2	1	1	2	1	2	1	0	2	1	2	1	4	2	4	
6	1	1	1	1	1	1	1	1	2	1	0	1	1	2	1	1	
7	1	1	1	1	1	1	1	1	0	1	2	1	0	1	1	1	
8	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	
9	2	2	0	2	2	2	2	2	0	2	0	2	0	0	2	0	
10	0	0	2	0	0	0	0	0	136	0	0	0	0	2	0	2	
11	0	0	0	0	0	0	0	0	221	0	123	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	235	0	223	0	130	0	0	0	
13	25	0	0	193	76	32	70	11	216	27	228	101	209	0	155	0	
14	220	228	181	217	215	241	211	231	193	202	224	221	181	89	264	255	
15	225	231	207	210	220	237	193	179	153	136	167	199	144	265	228	247	
16	157	206	103	183	211	238	153	155	144	143	153	160	147	247	181	251	
17	144	158	140	149	158	203	155	155	148	154	195	146	149	244	155	242	
18	154	153	153	147	148	158	231	154	151	150	221	149	155	245	171	221	
19	156	150	155	149	149	186	212	152	151	145	220	145	150	230	168	177	
20	150	158	150	153	157	209	222	149	145	152	216	144	142	176	162	172	
21	144	155	147	152	150	217	184	149	147	150	145	157	141	175	163	169	
22	136	152	144	149	145	196	159	148	148	154	140	152	131	170	154	170	
23	147	148	148	145	146	179	201	152	149	153	196	141	136	174	163	161	
24	144	151	146	151	151	144	221	152	150	149	171	150	136	166	164	160	
25	149	149	146	156	140	212	199	150	150	148	159	148	134	164	162	159	
26	143	143	143	136	143	194	151	148	153	147	153	151	135	165	161	158	
27	140	151	140	156	147	151	152	148	148	152	152	149	151	162	166	164	
28	152	145	145	151	147	156	147	154	147	150	143	150	147	164	165	162	
29	151	154	135	152	146	154	145	150	153	147	147	152	148	163	164	162	
30	153	153	147	151	152	151	145	154	155	151	142	153	148	164	162	162	
31	146	149	143	148	151	144	151	144	146	153	148	145	145	162	164	164	
32	135	144	140	153	155	149	151	152	152	150	150	140	151	160	167	163	
33	152	145	147	155	150	150	148	145	158	147	149	152	154	160	163	163	
34	150	152	143	150	148	148	154	147	150	143	146	152	155	160	166	165	
35	148	154	153	154	151	155	146	149	153	145	153	154	144	164	164	166	
36	144	154	147	149	151	150	151	157	150	155	151	148	147	161	165	161	
37	131	150	151	154	152	150	153	148	148	149	145	152	149	162	162	161	
38	150	149	146	152	150	152	144	148	152	154	141	153	147	163	167	160	
39	151	157	149	152	150	151	152	156	150	154	150	152	153	164	166	160	
40	155	156	150	147	157	150	153	156	158	150	152	155	149	164	167	162	
41	147	154	149	151	154	149	145	146	157	154	146	154	153	163	163	161	
42	137	149	151	155	154	152	148	150	149	156	153	154	152	165	162	161	
43	154	145	152	154	151	148	152	152	152	152	146	152	153	162	166	163	
44	156	150	146	152	150	150	149	148	150	148	151	152	152	165	162	163	
