Time	stat-140325-072553-1.txt	stat-140325-073043-2.txt	stat-140325-073643-3.txt	stat-140325-073933-4.txt	stat-140325-074602-5.txt	stat-140325-074909-6.txt	stat-140325-075536-7.txt	stat-140325-080500-8.txt	stat-140325-080750-9.txt	stat-140325-081057-10.txt	stat-140325-081422-11.txt	stat-140325-081744-12.txt	stat-140325-082111-13.txt	stat-140326-121557-14.txt	stat-140326-121911-15.txt	stat-140326-122246-16.txt
0	2	3	1	2	1	4	3	3	4	2	1	2	4	2	3	4	
1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	
2	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	
3	2	0	4	1	4	1	1	1	0	1	2	2	1	1	1	1	
4	6	7	4	7	5	7	7	6	7	6	5	6	6	2	7	6	
5	2	2	0	0	2	0	2	0	2	2	0	2	2	4	2	0	
6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	
10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0	20	26	12	26	18	4	18	76	42	0	14	0	0	116	86	
14	214	228	194	224	214	228	212	228	224	206	206	216	224	184	268	262	
15	228	230	210	216	216	246	188	116	228	204	228	220	206	246	238	244	
16	42	170	190	200	222	222	76	14	222	232	228	78	66	250	231	254	
17	16	20	224	104	46	182	2	10	214	14	188	6	10	244	253	238	
18	2	12	58	12	10	32	204	6	4	8	18	-	10	242	132	100	
19	6	14	24	18	6	112	214	10	2	10	78	-	14	134	14	30	
20	4	12	10	6	10	218	218	2	2	10	200	-	8	26	8	14	
21	-	2	2	4	4	214	162	0	10	4	232	-	0	14	-	14	
22	-	0	4	4	4	190	36	0	6	6	214	-	2	18	-	12	
23	-	0	-	4	-	124	106	2	0	2	150	-	-	16	-	2	
24	-	0	-	0	-	4	212	-	4	2	34	-	-	8	-	-	
25	-	2	-	0	-	172	216	-	0	-	82	-	-	-	-	-	
26	-	-	-	2	-	160	46	-	4	-	188	-	-	-	-	-	
27	-	-	-	-	-	8	40	-	2	-	34	-	-	-	-	-	
28	-	-	-	-	-	14	52	-	4	-	34	-	-	-	-	-	
29	-	-	-	-	-	10	38	-	2	-	4	-	-	-	-	-	
30	-	-	-	-	-	20	22	-	-	-	-	-	-	-	-	-	
31	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	
32	-	-	-	-	-	16	-	-	-	-	-	-	-	-	-	-	
33	-	-	-	-	-	12	-	-	-	-	-	-	-	-	-	-	
