Time	stat-140325-180118-1.txt	stat-140325-180402-2.txt	stat-140325-180645-3.txt	stat-140325-180931-4.txt	stat-140325-181214-5.txt	stat-140325-181459-6.txt	stat-140325-181743-7.txt	stat-140325-182028-8.txt	stat-140325-182311-9.txt	stat-140325-182555-10.txt	stat-140325-182840-11.txt	stat-140325-183124-12.txt	stat-140325-183408-13.txt	stat-140325-183652-14.txt	stat-140325-183936-15.txt	stat-140325-184219-16.txt
0	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	
1	4	4	0	4	1	4	0	0	1	0	0	0	0	4	0	0	
2	2	2	0	2	4	2	0	0	4	0	1	0	0	2	0	0	
3	2	2	0	2	2	2	0	0	2	0	0	1	0	2	0	0	
4	2	2	5	2	2	2	5	5	2	5	5	4	5	2	1	5	
5	0	0	2	0	2	0	2	2	2	2	2	2	2	0	4	2	
6	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	
7	0	0	2	0	2	0	2	2	2	2	2	2	2	0	2	2	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
9	133	156	2	122	0	155	2	2	0	2	2	2	2	147	0	2	
10	213	228	0	221	11	217	0	0	1	0	0	0	0	238	2	0	
11	228	224	0	236	194	239	0	0	241	0	0	0	0	229	0	0	
12	219	230	77	216	215	219	39	0	237	5	48	23	103	241	0	73	
13	229	232	201	221	225	235	219	201	210	214	225	226	227	261	199	218	
14	241	240	226	227	220	237	219	202	233	228	229	223	256	217	224	201	
15	223	235	215	223	234	226	226	226	232	215	229	210	221	222	230	229	
16	240	236	232	222	219	237	227	223	236	213	227	225	196	226	233	222	
17	227	226	202	229	231	213	241	245	235	228	220	215	235	224	216	226	
18	221	228	231	245	223	221	227	241	232	232	217	222	224	217	235	219	
19	235	232	239	230	206	239	215	233	226	227	225	226	244	236	236	234	
20	234	230	220	241	225	211	209	226	210	236	238	220	230	239	237	228	
21	229	234	226	232	220	237	236	223	231	226	222	238	232	215	236	217	
22	220	221	260	224	234	243	216	208	229	242	226	231	214	209	220	233	
23	226	237	234	225	224	256	225	214	232	230	235	229	216	221	227	241	
24	236	234	222	223	243	230	216	211	220	234	230	206	224	234	241	239	
25	214	222	214	222	221	243	234	230	230	245	223	233	225	235	237	236	
26	233	216	226	230	226	232	233	234	220	240	226	240	217	223	224	230	
27	222	228	214	230	229	224	217	222	218	223	227	233	213	226	234	227	
28	232	230	236	229	237	225	231	235	228	229	222	214	224	259	221	214	
29	227	230	232	222	237	221	233	238	227	234	217	238	220	239	212	238	
30	221	250	240	223	234	219	252	223	200	227	221	228	227	237	231	214	
31	179	236	218	224	208	236	230	222	216	236	236	231	224	248	234	238	
32	268	230	232	237	222	231	229	246	229	234	230	237	230	237	227	217	
33	246	227	219	239	227	235	228	263	239	225	213	233	223	244	225	215	
34	229	216	215	232	222	225	223	215	232	232	223	235	220	230	220	220	
35	218	223	223	255	213	220	211	224	225	232	240	233	222	237	252	236	
36	225	232	246	248	217	222	233	213	222	240	217	211	208	213	242	237	
37	235	242	249	223	210	234	230	216	235	244	245	240	234	217	228	245	
38	234	228	233	238	221	233	232	228	243	248	214	223	231	222	248	242	
39	233	235	241	236	259	256	234	229	236	226	238	230	222	241	228	230	
40	228	234	242	231	222	230	235	250	231	240	230	205	241	222	216	238	
41	231	226	226	227	229	223	233	232	225	225	248	230	230	222	221	223	
42	223	214	223	231	229	230	226	228	226	231	225	256	234	226	230	251	
43	238	230	214	240	218	232	223	236	219	225	236	245	230	237	235	223	
44	247	223	219	229	220	240	225	242	210	230	248	216	234	226	246	234	
45	231	247	219	238	229	227	238	230	234	227	243	240	237	245	222	228	
46	224	243	201	235	234	234	229	221	219	218	243	234	211	226	232	226	
47	233	234	213	227	223	232	233	238	233	223	241	232	226	219	242	225	
48	233	230	215	239	238	227	234	250	237	235	230	221	226	225	227	226	
