Time	stat-140325-180118-1.txt	stat-140325-180402-2.txt	stat-140325-180645-3.txt	stat-140325-180931-4.txt	stat-140325-181214-5.txt	stat-140325-181459-6.txt	stat-140325-181743-7.txt	stat-140325-182028-8.txt	stat-140325-182311-9.txt	stat-140325-182555-10.txt	stat-140325-182840-11.txt	stat-140325-183124-12.txt	stat-140325-183408-13.txt	stat-140325-183652-14.txt	stat-140325-183936-15.txt	stat-140325-184219-16.txt
0	2	2	2	2	1	1	3	2	3	2	2	3	3	2	4	2	
1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	
2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	
3	1	2	1	2	2	3	0	1	0	2	1	0	1	1	1	3	
4	7	6	2	5	5	5	7	6	7	6	6	7	7	6	6	5	
5	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	
6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	
10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	44	0	94	0	84	16	50	42	102	48	0	14	44	10	8	
13	206	218	178	224	182	234	224	206	224	222	224	214	230	226	222	212	
14	220	226	214	230	220	232	212	220	252	218	232	218	234	232	230	202	
15	228	234	222	222	220	222	228	226	210	228	228	218	244	228	234	218	
16	222	228	224	224	220	226	230	226	240	222	226	222	212	244	222	234	
17	240	226	214	222	236	238	238	244	230	218	218	214	210	254	224	220	
18	226	240	216	220	220	228	228	238	230	236	216	222	230	214	234	224	
19	226	244	238	226	226	232	218	228	234	230	228	228	232	228	244	220	
20	244	226	230	224	226	222	208	228	234	230	238	218	232	222	230	248	
21	216	220	220	244	206	212	232	220	228	230	222	238	236	218	232	206	
22	230	240	246	230	224	236	214	204	216	240	228	228	218	228	224	232	
23	238	228	252	248	218	230	232	228	224	230	234	231	222	236	232	232	
24	226	230	222	228	238	222	212	216	226	242	228	211	216	228	238	244	
25	236	232	216	228	224	230	230	214	234	246	224	230	230	212	232	242	
26	218	220	228	224	242	266	242	246	216	234	224	236	228	222	226	230	
27	224	242	214	224	224	242	208	222	234	224	230	238	200	226	230	222	
28	230	224	226	224	222	236	236	234	218	234	222	212	220	236	226	224	
29	230	228	230	220	230	234	230	238	230	228	216	242	232	220	210	226	
30	218	214	240	236	236	224	252	220	218	224	220	226	220	224	234	218	
31	228	228	224	224	238	220	228	228	216	242	236	228	220	254	234	236	
32	222	230	228	228	232	238	234	250	204	222	232	240	230	242	218	222	
33	230	240	224	216	210	216	228	248	222	236	212	240	226	230	232	216	
34	226	244	214	226	228	224	228	224	234	220	224	228	216	260	218	216	
35	72	238	210	238	220	230	204	212	242	240	240	234	228	238	258	236	
36	396	226	250	240	222	238	240	218	226	240	216	216	206	240	232	242	
37	226	218	248	228	218	220	224	224	228	260	246	234	228	234	236	236	
38	218	222	238	254	212	234	234	222	220	232	214	222	232	236	242	244	
39	228	230	230	250	212	214	232	238	238	224	238	230	228	220	228	244	
40	226	230	244	226	232	230	234	250	238	238	230	216	238	214	218	218	
41	236	238	238	236	244	238	236	230	240	226	248	224	224	226	224	236	
42	236	232	224	238	228	244	226	224	226	228	224	248	232	226	228	244	
43	228	236	226	236	228	244	222	238	228	234	234	254	236	230	236	236	
44	226	232	214	222	230	222	226	242	228	226	248	214	234	228	242	218	
45	232	226	214	234	222	226	234	230	212	220	246	242	242	222	226	232	
46	230	216	216	234	210	230	234	216	214	226	242	234	212	228	236	232	
47	236	222	210	230	238	240	232	242	230	228	242	230	224	234	242	222	
48	256	232	206	236	236	236	232	254	226	228	228	218	224	246	216	230	
49	216	258	212	236	218	232	222	224	232	222	236	228	224	228	240	224	
50	224	234	214	230	238	232	228	236	236	238	234	218	218	216	254	216	
51	236	234	236	238	224	226	214	244	240	218	228	230	250	228	226	244	
52	242	228	244	216	234	236	238	226	234	234	226	234	240	222	226	260	
53	224	224	206	244	224	224	234	242	222	250	240	226	216	224	212	244	
54	212	232	230	236	242	234	240	242	234	240	226	248	214	234	230	228	
55	238	234	234	222	226	220	248	244	220	226	224	218	214	214	230	238	
56	234	240	234	230	224	238	228	238	226	224	234	246	228	240	246	206	
57	228	226	236	218	224	232	226	226	220	230	222	264	216	222	210	212	
58	230	230	234	240	248	234	246	260	234	206	222	224	224	236	218	234	
59	228	218	226	230	224	236	234	218	240	224	234	232	242	218	194	232	
60	224	232	226	218	230	242	234	230	234	236	228	222	256	230	238	222	
61	228	218	222	218	230	238	238	224	220	228	236	240	234	240	226	226	
62	228	226	238	228	218	218	236	244	220	224	224	236	234	228	230	240	
63	228	232	224	220	218	214	238	236	232	202	226	218	218	210	226	226	
64	232	258	218	236	216	230	222	232	238	230	236	236	238	214	240	234	
65	236	224	220	246	232	232	238	224	244	214	228	228	228	234	262	254	
66	232	228	238	244	230	226	220	236	236	236	226	236	230	232	244	248	
67	216	221	244	238	226	228	236	216	244	234	224	230	240	236	238	236	
68	232	217	226	226	236	232	238	240	234	208	234	236	234	230	244	236	
69	232	234	232	222	232	230	250	226	252	250	252	220	232	232	232	228	
70	218	222	224	226	234	220	218	234	222	216	224	196	212	234	228	222	
71	226	236	226	236	248	222	234	228	234	240	236	224	224	228	238	224	
72	234	228	222	218	254	230	230	218	224	232	232	244	222	230	236	240	
73	218	232	240	232	230	238	226	236	232	230	238	224	230	228	242	234	
74	222	234	236	216	244	228	220	244	230	244	236	226	244	238	226	234	
75	212	238	228	204	238	228	232	224	240	230	232	236	248	228	230	228	
76	214	226	230	224	214	242	238	182	234	220	224	230	232	232	228	226	
77	216	216	210	228	228	214	212	236	222	230	218	224	242	236	212	216	
78	222	236	216	242	236	224	232	234	226	214	244	226	252	224	220	222	
79	252	242	228	244	230	236	202	220	230	232	224	242	236	248	224	220	
80	236	226	206	216	224	222	220	228	238	210	228	230	228	240	248	228	
81	212	236	230	224	222	232	228	222	222	238	216	240	220	244	242	224	
82	232	264	226	224	224	222	226	228	244	224	222	234	230	224	254	228	
83	224	246	248	250	224	238	226	244	246	248	250	230	228	224	230	236	
84	232	258	234	240	226	214	230	230	232	224	252	230	232	218	230	226	
85	228	242	232	237	230	236	224	232	228	234	232	234	224	234	230	242	
86	234	246	228	225	228	226	226	226	242	234	238	232	226	238	248	240	
87	210	236	232	228	240	236	218	234	238	236	228	254	240	220	236	254	
88	222	226	220	232	230	250	234	222	224	232	240	222	224	232	240	236	
89	224	240	218	238	224	230	234	228	238	236	226	236	222	232	230	234	
90	244	238	238	234	232	226	248	236	222	252	232	226	254	230	238	240	
91	228	222	224	222	230	214	242	244	218	218	242	222	230	220	224	226	
92	216	240	214	230	222	224	230	234	222	244	224	226	238	222	234	228	
93	232	232	222	240	228	218	222	246	224	222	224	230	222	236	240	234	
94	236	250	228	242	232	232	246	228	230	212	206	224	210	220	236	224	
95	226	234	220	228	228	224	226	236	216	220	232	238	240	230	256	232	
96	214	236	226	234	220	232	232	214	242	242	236	232	230	234	248	220	
97	234	230	242	222	234	228	222	228	236	252	222	232	236	236	220	226	
98	244	228	218	254	232	226	220	232	246	220	216	226	222	226	232	236	
99	228	16	210	94	218	170	236	156	204	140	188	232	232	204	44	218	
100	188	0	214	0	234	0	50	2	0	0	2	40	108	0	0	0	
101	0	0	136	0	2	0	0	0	0	0	0	2	0	0	0	0	
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109	0	2	0	2	0	2	0	2	2	2	2	0	0	2	2	2	
110	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	
111	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
112	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
113	2	-	2	-	2	-	2	0	-	0	-	2	2	0	0	0	
114	-	-	2	-	2	-	0	0	-	2	-	-	0	2	2	0	
115	-	-	0	-	0	-	2	0	-	-	-	-	0	-	-	0	
116	-	-	4	-	2	-	-	0	-	-	-	-	0	-	-	0	
117	-	-	-	-	-	-	-	2	-	-	-	-	2	-	-	2	
