Time	stat-140324-163326-1.txt	stat-140324-163728-2.txt	stat-140324-164657-3.txt	stat-140324-165247-4.txt	stat-140324-165543-5.txt	stat-140324-165823-6.txt	stat-140324-170114-7.txt	stat-140324-170650-8.txt	stat-140324-171214-9.txt	stat-140324-171452-10.txt	stat-140324-171739-11.txt	stat-140324-172024-12.txt	stat-140324-200217-13.txt	stat-140326-125127-14.txt	stat-140326-125429-15.txt	stat-140326-125726-16.txt
0	2	1	1	1	2	1	2	1	1	1	1	1	1	4	4	1	
1	0	0	0	4	0	4	1	0	0	4	4	4	0	0	1	3	
2	0	0	0	2	0	2	0	0	0	2	0	2	1	0	0	0	
3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	
4	5	5	0	0	5	0	5	5	5	0	0	0	0	5	5	5	
5	2	2	4	0	2	0	0	0	2	0	0	0	4	2	0	0	
6	0	0	2	1	0	1	0	0	0	1	1	1	0	0	0	0	
7	0	0	0	2	0	2	0	0	0	2	2	2	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	
10	2	2	1	178	1	232	2	2	2	166	236	256	1	2	2	2	
11	0	0	2	268	2	270	0	0	0	240	248	252	2	0	0	0	
12	0	0	0	252	0	230	0	0	0	240	246	254	0	0	0	0	
13	0	120	0	250	0	236	0	88	32	230	36	256	0	154	2	28	
14	284	270	262	254	224	58	270	268	280	90	4	254	264	266	336	278	
15	256	244	264	126	242	26	252	226	244	16	6	158	252	236	322	2	
16	230	238	134	16	238	8	258	106	180	16	2	18	252	284	308	206	
17	200	128	12	4	12	16	246	16	32	8	2	24	184	288	306	320	
18	14	20	14	16	20	6	200	14	22	0	4	16	18	12	294	210	
19	16	0	10	14	0	0	18	8	4	0	0	16	18	26	242	2	
20	12	0	4	0	0	2	18	4	0	0	2	2	20	16	28	2	
21	8	0	6	0	0	0	22	2	0	0	4	0	4	12	30	6	
22	8	0	0	0	0	0	12	0	0	0	6	0	6	6	26	8	
23	0	0	0	0	0	0	2	0	0	0	6	0	0	0	14	6	
24	0	0	0	0	0	0	2	0	0	0	4	0	0	2	12	12	
25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	
26	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	4	
27	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	18	
28	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	6	
29	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
31	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	4	
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
