Time	stat-140325-213815-1.txt	stat-140325-214054-2.txt	stat-140325-214337-3.txt	stat-140325-214621-4.txt	stat-140325-214903-5.txt	stat-140325-215147-6.txt	stat-140325-215431-7.txt	stat-140325-215715-8.txt	stat-140325-215958-9.txt	stat-140325-220242-10.txt	stat-140325-220526-11.txt	stat-140325-220810-12.txt	stat-140325-221054-13.txt	stat-140325-221338-14.txt	stat-140325-221623-15.txt	stat-140325-221906-16.txt
0	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	
1	0	0	0	4	0	0	0	4	0	4	0	0	0	0	1	0	
2	0	0	1	2	1	1	0	2	0	2	0	1	0	0	4	0	
3	1	0	0	2	0	0	0	2	0	2	1	0	0	1	2	0	
4	0	5	4	2	5	5	5	2	5	2	4	5	5	5	2	5	
5	4	2	2	0	2	2	2	0	2	0	2	2	2	2	2	2	
6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
7	2	2	2	0	2	2	2	0	2	0	2	2	2	2	2	2	
8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	2	2	146	2	2	2	120	2	150	2	2	2	2	0	2	
10	2	0	0	220	0	0	0	218	0	208	0	0	0	0	16	0	
11	0	0	0	214	0	0	0	240	0	232	0	0	0	0	228	0	
12	0	34	168	242	52	0	62	232	28	240	32	44	32	66	212	36	
13	238	252	226	246	216	220	216	244	224	226	214	220	208	232	240	232	
14	250	238	222	248	234	206	226	238	228	226	230	238	222	228	246	224	
15	250	244	234	224	236	234	228	240	240	228	228	240	224	228	226	234	
16	248	236	224	216	240	234	230	234	238	218	240	242	244	238	234	230	
17	238	230	246	226	238	232	228	226	226	216	230	228	232	236	228	246	
18	238	254	230	220	228	236	228	228	228	226	226	228	234	220	238	226	
19	278	248	228	240	218	226	231	214	232	232	236	228	230	234	224	272	
20	280	224	216	230	250	230	229	232	220	250	224	228	232	228	218	254	
21	258	234	215	248	250	212	226	238	242	238	230	224	222	218	246	230	
22	268	244	241	232	248	228	230	246	222	240	232	238	222	226	232	228	
23	258	252	220	226	262	244	216	228	224	228	244	230	220	226	242	238	
24	246	244	200	226	240	224	240	234	210	226	212	238	232	228	224	232	
25	248	244	232	228	232	224	228	228	224	222	238	224	232	262	228	232	
26	256	260	232	224	226	210	228	238	232	244	238	228	224	220	212	228	
27	242	236	230	222	232	234	212	236	232	200	220	238	230	226	238	230	
28	260	248	236	234	226	218	226	234	220	216	226	226	232	226	218	236	
29	266	236	228	232	218	232	220	238	232	234	234	230	242	238	230	228	
30	254	246	256	232	236	234	254	218	230	220	228	224	258	238	242	222	
31	260	232	230	234	246	216	228	234	232	230	226	234	246	242	228	222	
32	256	261	234	214	230	242	226	234	238	230	224	222	253	232	228	224	
33	260	248	220	232	222	222	222	228	234	222	228	228	236	232	220	236	
34	238	224	228	218	240	224	224	242	226	232	212	230	234	224	240	220	
35	242	234	218	246	236	228	228	228	228	242	220	232	230	226	232	226	
36	248	226	230	226	238	232	230	234	228	232	232	226	232	222	248	232	
37	250	234	228	216	240	224	226	234	234	224	224	244	230	226	222	222	
38	254	234	224	236	238	242	228	235	252	258	242	218	240	236	234	242	
39	266	238	230	224	224	232	238	225	224	254	236	238	212	230	226	236	
40	258	230	232	230	232	220	216	230	238	229	222	242	218	226	224	222	
41	224	230	230	226	218	222	232	228	218	244	228	222	218	232	228	222	
42	246	208	214	250	222	222	228	226	228	238	220	222	224	218	250	230	
43	258	232	228	258	212	222	234	242	224	228	230	238	234	232	234	220	
44	248	230	238	226	228	246	226	238	224	228	228	230	228	220	224	238	
45	216	242	222	234	232	224	228	222	214	228	236	240	226	240	240	228	
46	246	212	248	218	226	216	218	220	218	214	228	218	222	242	226	226	
47	254	232	232	234	224	238	232	236	236	244	228	212	230	238	220	226	
48	262	210	240	250	226	228	224	230	234	236	218	224	230	234	226	226	
49	234	220	226	242	218	222	218	222	232	252	224	226	220	222	226	232	
50	248	238	218	246	236	224	232	208	210	242	236	230	230	234	240	226	
51	260	248	240	227	220	238	222	224	222	234	252	230	250	234	246	234	
52	232	244	236	235	230	234	242	228	222	232	232	232	226	234	226	234	
53	256	244	244	224	232	246	268	222	230	218	236	224	234	228	232	240	
54	234	232	216	234	226	240	262	236	234	248	228	228	228	224	228	228	
55	222	232	243	244	226	234	252	236	216	236	240	246	232	220	222	234	
56	232	228	221	240	228	218	238	232	236	254	226	218	226	226	228	226	
57	206	228	236	234	248	226	230	222	234	228	214	230	218	218	254	236	
58	244	236	222	238	238	228	230	234	230	216	214	246	236	226	238	222	
59	262	218	246	246	234	248	244	234	236	224	224	230	238	228	262	226	
60	226	226	244	232	240	222	226	224	228	228	238	234	232	230	256	228	
61	216	242	224	261	234	232	228	232	234	224	226	234	232	232	246	234	
62	228	234	230	267	224	228	228	226	228	228	238	222	214	222	214	228	
63	232	234	222	234	228	220	228	228	224	242	224	228	224	226	248	226	
64	224	220	228	228	236	234	220	228	214	230	248	224	222	218	248	242	
65	226	240	218	242	230	226	244	218	224	228	226	236	228	232	236	236	
66	236	236	218	220	250	238	234	224	232	216	224	230	218	236	238	230	
67	242	238	222	228	220	232	236	224	225	218	232	224	238	236	236	226	
68	222	222	224	218	202	246	240	220	235	230	228	232	244	232	236	236	
69	266	222	238	236	210	228	220	240	230	230	240	220	224	214	234	222	
70	248	230	232	238	226	238	218	224	222	224	234	222	218	236	222	226	
71	241	251	224	248	230	232	218	248	240	230	224	216	222	238	242	222	
72	232	235	236	234	222	236	222	246	232	222	222	218	234	218	230	218	
73	252	230	232	232	226	228	228	230	234	220	224	262	246	246	246	234	
74	228	242	226	231	228	232	242	222	214	218	241	256	230	218	226	244	
75	228	226	234	221	222	220	228	218	224	214	233	224	228	230	232	228	
76	236	228	228	240	232	232	238	238	220	246	232	270	240	222	240	224	
77	238	210	234	244	238	220	220	234	232	228	236	238	224	234	226	218	
78	236	226	224	228	226	230	214	224	222	238	250	224	224	214	226	238	
79	228	220	236	254	228	214	240	232	220	226	242	236	218	222	218	236	
80	220	228	212	236	230	234	230	232	230	212	232	246	216	248	234	238	
81	230	236	214	236	220	244	240	232	236	220	226	240	238	242	198	244	
82	226	230	236	232	232	244	226	224	222	224	232	236	238	244	230	232	
83	232	230	246	248	202	236	212	228	228	232	236	236	222	218	222	230	
84	228	242	234	220	224	214	230	234	222	234	228	232	236	232	226	232	
85	236	234	228	238	226	230	232	234	238	242	228	216	228	216	238	226	
86	232	242	226	236	238	218	230	230	254	228	236	220	230	238	240	220	
87	244	228	238	216	242	250	214	230	232	234	238	240	234	230	230	224	
88	242	220	232	220	240	212	242	230	282	224	210	226	226	236	222	218	
89	238	238	228	226	214	246	244	224	220	216	228	230	224	228	238	238	
90	226	220	236	226	242	242	232	236	240	212	232	226	228	228	230	236	
91	226	244	234	236	228	220	220	250	222	246	228	238	232	232	220	228	
92	244	238	234	248	236	238	218	242	214	236	228	228	232	224	226	228	
93	234	220	240	240	232	222	224	236	222	240	226	246	224	220	248	242	
94	242	234	210	212	228	242	246	240	232	230	226	234	240	242	240	228	
95	122	240	238	40	246	222	234	222	230	228	230	252	240	224	252	210	
96	0	224	234	0	234	242	220	32	240	60	230	240	245	240	228	231	
97	0	220	242	0	226	234	226	0	226	0	224	248	227	234	10	223	
