Time	stat-140324-215045-1.txt	stat-140324-215400-2.txt	stat-140324-215740-3.txt	stat-140324-220048-4.txt	stat-140324-220727-5.txt	stat-140324-221443-6.txt	stat-140324-221754-7.txt	stat-140324-222108-8.txt	stat-140324-222754-9.txt	stat-140324-223355-10.txt	stat-140324-224244-11.txt	stat-140324-224605-12.txt	stat-140324-224929-13.txt	stat-140326-131558-14.txt	stat-140326-131856-15.txt	stat-140326-132316-16.txt
0	10	6	66	17	38	20	25	37	38	23	43	50	36	34	30	41	
1	17	13	208	15	33	24	28	45	26	23	28	29	19	12	24	29	
2	31	30	398	21	15	17	21	13	19	16	16	17	50	43	14	15	
3	13	5	160	60	17	15	25	19	31	24	18	24	16	45	18	24	
4	22	10	70	44	56	36	47	39	46	39	38	43	33	33	34	40	
5	20	24	40	19	36	30	19	55	43	41	41	42	31	17	20	37	
6	20	31	28	33	31	33	55	33	61	31	46	48	61	34	33	36	
7	60	39	59	42	37	34	52	35	37	33	46	44	46	45	29	28	
8	31	35	35	39	40	36	65	40	47	33	39	36	39	43	36	29	
9	14	28	55	58	28	69	42	31	30	64	21	28	24	55	35	45	
10	8	13	25	19	43	18	16	24	40	28	39	49	28	18	28	30	
11	17	3	5	19	26	24	24	33	16	15	22	18	16	14	22	17	
12	14	32	11	21	19	17	25	21	27	14	20	17	41	47	12	19	
13	41	5	23	57	31	22	32	42	29	41	21	25	25	159	18	13	
14	459	439	448	422	453	403	415	454	439	528	516	476	457	541	536	517	
15	458	449	411	369	406	411	367	469	445	463	309	462	497	528	520	575	
16	472	494	426	423	409	428	421	468	468	514	232	535	382	484	507	542	
17	408	212	177	236	171	281	249	458	181	482	199	434	186	478	468	516	
18	219	187	166	195	174	353	184	386	173	409	191	386	179	273	472	278	
19	213	198	155	191	167	330	172	172	188	268	189	179	184	202	214	199	
20	434	260	156	174	199	398	167	183	197	211	210	218	183	223	210	220	
21	445	203	170	212	170	405	164	200	219	194	205	199	192	237	210	227	
22	457	199	183	233	204	342	186	187	193	192	201	184	197	240	213	234	
23	377	237	180	261	230	231	202	188	211	216	194	188	246	219	199	218	
24	227	169	167	228	191	294	222	190	187	231	196	203	204	219	201	242	
25	215	285	163	179	184	345	202	218	177	287	249	195	205	214	214	246	
26	324	248	178	178	184	181	173	201	209	220	248	229	213	221	209	239	
27	478	214	166	187	181	174	155	219	185	185	220	201	188	233	201	247	
28	360	198	187	204	190	181	225	192	186	206	213	193	237	254	234	265	
29	227	251	184	227	187	195	188	212	200	219	191	192	210	231	211	248	
30	197	179	179	203	209	179	182	227	239	271	217	248	217	239	217	247	
31	312	212	247	188	215	175	202	214	199	217	219	204	201	227	235	241	
32	412	194	219	190	193	170	200	201	208	218	201	203	225	245	227	230	
33	353	216	228	237	183	169	223	196	205	195	221	193	212	235	218	232	
34	237	182	184	187	204	183	191	197	205	223	235	207	180	228	217	225	
35	211	210	163	208	178	181	180	220	185	208	214	194	179	228	209	212	
36	198	183	183	181	189	168	172	204	220	227	218	224	215	241	219	215	
37	216	217	177	211	185	177	177	221	213	221	211	201	205	244	221	247	
38	199	212	192	192	205	181	200	207	202	236	205	198	218	262	238	229	
39	188	247	191	223	192	188	184	209	206	214	183	202	210	247	236	235	
40	192	316	177	192	198	187	228	212	224	251	225	215	224	230	243	227	
41	213	344	188	188	184	207	204	261	199	206	215	200	197	229	220	232	
42	213	330	320	193	218	164	298	204	217	259	215	225	239	249	250	224	
43	212	252	336	499	192	184	379	220	215	201	216	188	204	249	222	239	
44	197	181	338	446	224	170	345	198	202	250	232	209	201	235	227	219	
45	290	181	434	321	180	173	249	227	201	246	224	205	214	242	233	274	
46	499	202	762	191	179	177	218	199	229	231	209	226	239	258	272	234	
47	429	215	515	207	185	181	202	215	206	212	210	195	208	246	233	237	
48	205	229	258	210	197	173	247	216	210	208	209	235	204	245	237	232	
49	211	246	209	229	204	205	301	215	219	239	207	212	216	255	234	244	
50	203	182	404	227	224	173	240	213	233	203	233	237	227	238	250	262	
51	202	212	278	219	186	210	289	218	203	207	224	207	242	236	232	242	
52	238	243	214	198	191	191	199	202	206	204	234	203	232	236	231	228	
53	364	198	223	227	191	191	301	208	212	224	245	215	202	261	239	242	
54	350	220	184	199	187	181	263	209	228	206	212	223	200	249	234	245	
55	269	203	197	217	215	199	290	252	213	221	227	210	204	245	249	281	
56	285	241	193	194	185	180	196	210	228	229	236	223	230	241	237	238	
57	469	194	196	211	186	186	175	226	205	209	218	210	211	230	232	235	
58	231	218	229	204	203	206	237	222	212	214	209	219	213	284	235	239	
59	410	208	213	220	203	193	200	213	220	221	220	208	219	240	229	225	
60	445	195	197	201	217	187	200	212	234	213	231	236	222	231	247	241	
61	260	202	195	194	216	187	200	223	216	225	232	215	207	234	239	243	
62	434	216	212	200	196	163	212	229	208	204	222	206	277	274	238	247	
63	427	187	202	215	197	183	189	214	214	213	211	207	220	258	247	250	
64	383	206	205	207	193	177	212	216	228	246	223	218	219	244	243	244	
65	529	207	187	209	208	188	185	228	216	222	242	212	207	247	240	272	
66	268	204	198	205	199	171	184	231	268	218	236	253	237	239	261	249	
67	554	235	215	228	196	202	197	213	236	228	226	217	216	246	242	241	
68	662	218	210	200	196	217	226	211	213	216	221	207	219	281	236	250	
69	476	208	223	251	197	242	193	226	219	227	227	211	230	242	245	235	
70	276	227	282	203	236	187	207	204	234	215	260	229	235	239	263	296	
71	255	205	178	199	209	188	197	222	214	215	216	203	238	248	256	259	
72	209	218	199	212	186	181	199	214	212	210	221	220	237	266	231	237	
73	287	198	216	222	189	180	206	204	217	226	220	211	223	298	239	242	
74	231	195	212	206	202	185	204	222	224	241	224	224	222	262	255	256	
75	285	219	207	199	223	208	178	277	218	221	241	222	219	245	256	271	
76	213	224	210	205	201	196	201	280	242	230	248	242	252	239	249	242	
77	222	222	216	222	205	179	209	304	247	212	229	232	232	263	236	258	
78	203	216	225	238	264	181	236	295	219	224	214	207	231	268	263	247	
79	200	215	223	234	245	212	195	298	231	251	232	231	229	261	255	282	
80	231	222	203	205	230	194	210	233	246	235	234	266	253	257	292	243	
81	217	209	198	211	212	174	203	227	228	229	213	229	257	276	306	264	
82	202	227	251	212	233	199	215	226	221	220	216	225	243	239	293	242	
83	223	208	221	236	227	188	215	221	231	226	228	227	225	41	413	229	
84	221	237	210	226	208	198	229	209	239	234	217	241	220	20	254	29	
85	225	213	206	205	226	228	188	246	216	241	227	223	222	13	155	45	
86	205	218	244	227	199	177	225	213	257	226	231	273	248	16	105	16	
87	234	223	224	227	203	165	203	221	225	252	239	244	224	17	58	15	
88	205	218	211	207	220	171	223	232	222	274	241	227	227	23	18	22	
89	211	205	214	246	209	219	210	227	216	262	214	215	227	29	48	14	
90	215	201	199	210	209	163	179	231	243	225	224	251	239	20	30	22	
91	211	213	210	213	203	185	212	235	218	235	237	215	239	14	30	27	
92	223	223	240	213	196	202	207	226	218	222	230	226	140	26	46	15	
93	239	250	229	235	225	186	228	93	23	17	216	83	16	48	39	20	
94	215	228	205	221	203	176	323	17	29	28	87	21	10	34	31	26	
95	205	233	204	210	225	206	293	43	13	21	101	17	23	36	94	48	
96	108	100	220	222	192	169	288	17	42	20	118	37	47	52	61	38	
97	39	10	210	202	199	198	253	18	16	19	31	15	20	24	60	36	
98	18	22	181	22	214	179	244	15	18	18	44	22	16	27	62	42	
99	3	29	244	38	201	206	258	29	22	30	19	16	18	19	42	23	
100	5	9	48	34	90	197	214	22	36	40	76	41	33	12	42	26	
101	18	14	15	18	37	190	222	28	17	78	36	22	40	15	63	20	
102	5	27	14	16	15	159	228	21	17	19	61	18	35	35	21	16	
103	30	12	57	37	16	21	16	18	24	51	13	19	40	45	16	20	
104	7	9	21	24	69	18	47	40	42	43	57	49	38	19	33	23	
105	7	7	21	33	35	35	24	62	41	81	44	46	37	15	18	42	
106	19	15	33	18	21	32	20	43	62	36	76	126	67	24	17	56	
107	56	27	30	31	13	18	21	35	54	23	59	78	25	25	25	19	
108	39	37	24	69	24	14	37	24	16	24	62	17	14	35	12	19	
109	29	39	45	60	22	55	27	27	26	35	32	38	21	21	30	17	
110	42	27	20	46	24	20	19	25	65	38	54	50	25	20	23	20	
111	21	4	44	31	59	15	18	40	16	24	32	21	23	16	20	26	
112	8	27	45	17	35	27	31	17	15	18	55	39	30	30	18	16	
113	43	21	60	38	37	52	58	16	26	15	17	20	37	32	16	12	
114	19	14	64	18	41	40	66	56	24	16	42	30	22	17	33	28	
115	18	42	32	21	42	63	35	45	25	43	29	14	26	16	26	57	
116	14	7	30	24	30	37	36	49	44	19	54	51	41	19	21	15	
117	33	4	24	23	18	36	19	19	14	16	27	17	18	27	13	17	
118	9	26	26	17	26	22	38	13	17	17	33	16	21	23	24	14	
119	28	10	35	40	23	43	24	23	22	43	16	15	21	22	23	13	
120	11	7	18	21	17	21	16	42	39	33	42	54	21	19	45	28	
121	17	4	25	15	40	15	29	26	17	20	17	19	27	17	28	21	
122	5	24	17	14	20	16	78	19	23	20	20	16	24	34	13	15	
123	34	27	55	39	22	29	204	18	23	26	15	13	23	45	13	12	
124	9	9	22	22	27	16	148	24	27	16	19	23	19	23	19	28	
125	12	4	14	17	33	51	72	42	18	43	25	71	13	13	37	34	
126	23	4	21	21	17	14	32	56	43	13	70	56	40	19	15	23	
127	55	11	28	19	17	16	16	43	32	25	17	14	20	20	19	25	
128	91	20	24	24	25	14	65	126	15	12	16	18	16	25	14	42	
129	14	4	33	39	16	43	46	169	22	31	13	17	21	18	18	18	
130	32	6	14	17	16	14	41	176	33	40	45	45	21	15	24	30	
131	21	4	13	15	43	19	82	47	19	16	18	16	24	15	25	28	
132	21	43	19	25	15	22	121	35	14	39	22	17	36	35	13	13	
133	35	20	43	41	15	26	104	29	33	50	19	14	22	49	13	16	
134	22	8	16	24	23	16	50	36	16	166	17	75	15	15	31	25	
135	3	3	22	15	46	32	22	69	13	166	25	23	13	18	45	49	
136	3	12	21	15	18	17	24	24	42	35	24	40	48	5	24	20	
137	33	4	27	32	13	18	36	19	15	17	16	15	51	-	13	-	
138	5	22	21	16	25	14	43	20	17	31	14	16	24	-	-	-	
139	3	6	31	40	20	46	23	31	22	39	15	16	15	-	-	-	
140	11	4	15	57	21	18	21	23	37	37	41	41	25	-	-	-	
141	50	8	19	12	39	17	29	31	17	15	24	14	29	-	-	-	
142	27	33	18	60	20	20	28	26	18	15	23	22	44	-	-	-	
143	13	22	41	43	13	22	18	19	23	19	13	27	15	-	-	-	
144	5	6	17	20	22	16	43	19	18	17	14	23	13	-	-	-	
145	3	7	14	16	37	40	13	38	20	24	24	18	14	-	-	-	
146	6	12	23	17	23	18	46	10	-	12	23	4	-	-	-	-	
147	34	8	21	23	20	15	15	-	-	-	7	-	-	-	-	-	
148	12	59	28	19	28	53	41	-	-	-	-	-	-	-	-	-	
149	3	-	66	37	21	45	20	-	-	-	-	-	-	-	-	-	
150	-	-	22	15	13	17	20	-	-	-	-	-	-	-	-	-	
151	-	-	18	-	47	18	20	-	-	-	-	-	-	-	-	-	
152	-	-	15	-	13	19	32	-	-	-	-	-	-	-	-	-	
153	-	-	14	-	10	23	17	-	-	-	-	-	-	-	-	-	
154	-	-	-	-	-	17	39	-	-	-	-	-	-	-	-	-	
155	-	-	-	-	-	41	21	-	-	-	-	-	-	-	-	-	
156	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	
