Time	stat-140325-141141-1.txt	stat-140325-141803-2.txt	stat-140325-142325-3.txt	stat-140325-142843-4.txt	stat-140325-143543-5.txt	stat-140325-144118-6.txt	stat-140325-144646-7.txt	stat-140325-145638-8.txt	stat-140325-150236-9.txt	stat-140325-150735-10.txt	stat-140325-151320-11.txt	stat-140325-151904-12.txt	stat-140325-152845-13.txt	stat-140325-153619-14.txt	stat-140325-155215-15.txt	stat-140325-160153-16.txt	stat-140325-160905-17.txt	stat-140325-161439-18.txt	stat-140326-194006-19.txt	stat-140326-195448-20.txt	stat-140326-201658-21.txt	stat-140326-202232-22.txt	stat-140326-203101-23.txt	stat-140326-203643-24.txt	stat-140326-204304-25.txt	stat-140326-205109-26.txt	stat-140326-210819-27.txt	stat-140326-211411-28.txt	stat-140326-212003-29.txt	stat-140326-212551-30.txt	stat-140326-213212-31.txt
0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	4	4	3	5	3	4	2	2	4	3	5	5	5	
1	4	0	0	1	0	4	0	4	4	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	4	0	1	1	0	0	
2	2	0	0	0	1	2	0	0	2	0	1	0	1	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	
4	1	6	5	5	1	1	6	1	1	5	2	5	2	1	2	5	0	5	6	5	4	5	4	5	5	5	5	5	4	5	5	
5	1	2	0	0	4	1	0	1	1	0	0	0	0	4	0	2	1	2	0	2	2	2	2	2	0	2	2	2	2	2	2	
6	3	0	0	0	2	3	0	3	3	0	1	0	1	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
8	0	1	1	1	1	0	1	0	0	1	3	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
9	0	3	3	3	1	0	3	0	0	3	0	3	0	1	2	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
10	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	120	0	0	0	0	120	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	2	0	0	0	0	2	0	120	8	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	0	0	0	0	0	0	0	2	2	0	12	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	2	56	118	15	0	2	74	0	0	29	108	0	2	0	120	116	2	11	0	116	120	120	92	120	0	0	120	0	108	78	120	
25	4	64	2	105	120	4	46	2	2	91	0	26	0	120	2	4	0	109	120	4	2	0	28	0	120	120	0	0	12	42	2	
26	2	2	0	0	2	2	0	2	4	0	0	94	2	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	2	2	0	
27	2	0	0	0	0	2	0	2	2	0	2	2	2	0	2	0	4	0	0	0	2	2	0	2	0	0	2	120	0	0	2	
28	6	2	2	2	2	4	2	2	2	2	4	0	2	2	4	2	2	2	2	2	4	4	2	4	2	2	4	2	2	2	4	
29	2	4	4	4	4	4	4	4	6	4	2	2	2	4	2	2	2	4	4	4	2	2	4	2	4	4	2	0	4	4	2	
30	0	2	2	2	2	2	2	6	2	2	2	6	2	2	2	2	6	2	4	2	2	2	2	2	2	4	2	2	2	2	2	
31	54	2	2	2	2	54	2	2	54	2	6	2	10	2	6	2	2	2	2	2	4	6	2	6	2	2	6	4	2	2	6	
32	0	6	6	6	6	0	6	54	0	6	2	2	54	6	0	2	56	6	6	6	2	2	6	2	6	6	2	2	6	6	4	
33	2	2	0	2	2	0	2	0	0	4	54	6	0	2	4	6	0	2	2	2	2	54	2	54	0	2	54	2	2	0	54	
34	0	54	54	54	54	0	56	0	0	54	0	2	0	54	54	2	0	52	54	54	54	0	54	0	54	54	0	6	54	54	0	
35	0	0	0	0	2	0	0	2	0	0	2	46	0	0	0	54	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	
36	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	54	0	0	0	
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	
40	2	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
41	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
43	0	4	2	2	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	2	2	2	2	4	2	2	0	0	4	2	0	
44	2	0	1	1	2	0	1	0	0	2	0	0	0	2	1	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	
45	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	
46	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
48	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	
49	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
51	2	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
52	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
53	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	
54	0	2	2	2	0	0	2	0	0	2	2	0	0	2	2	4	0	3	0	2	4	4	2	2	0	0	2	0	2	1	2	
55	0	0	0	0	2	0	0	0	0	0	0	4	0	2	0	0	0	1	2	0	0	0	0	0	2	2	0	0	0	1	0	
56	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
58	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59	0	0	2	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	
60	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	
61	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63	14	0	0	0	0	14	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
64	0	0	0	0	0	3	0	4	14	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	
65	1	0	0	0	0	2	2	10	0	0	0	0	8	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
66	2	0	14	0	2	2	2	3	1	0	14	0	0	0	6	0	3	0	14	14	14	14	14	14	14	14	14	0	14	14	6	
67	0	14	0	14	14	0	12	2	2	14	2	0	1	14	8	6	2	14	0	0	0	0	0	0	0	0	2	0	0	0	0	
68	2	3	1	0	3	0	0	2	0	0	1	0	2	0	3	8	2	3	1	1	1	1	1	1	1	1	1	0	1	1	1	
69	2	2	2	1	2	20	1	2	0	1	2	14	0	1	2	0	0	2	2	2	2	2	2	2	2	2	2	14	2	2	2	
70	16	2	0	2	0	2	2	2	2	2	2	3	0	2	2	1	2	2	0	2	0	0	0	0	0	2	0	3	0	0	0	
71	4	0	0	0	0	2	0	20	20	2	0	2	2	0	0	2	20	0	2	0	0	0	2	0	0	0	0	2	2	0	0	
72	2	2	2	0	2	0	0	2	2	0	2	2	20	0	2	0	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	
73	2	20	6	2	20	0	2	2	2	2	20	0	2	2	20	0	2	4	4	20	20	20	20	20	20	20	20	0	20	22	20	
74	0	2	14	20	2	0	20	0	0	20	2	0	2	20	2	2	0	16	16	2	2	2	2	2	2	4	4	4	2	2	2	
75	0	2	2	2	2	0	2	0	0	2	2	20	0	2	2	20	0	2	2	2	2	2	2	2	2	2	2	20	2	2	2	
76	0	0	2	2	0	0	2	0	0	2	0	2	0	2	0	2	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	
77	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
