Time	stat-140325-170333-1.txt	stat-140325-170728-2.txt	stat-140325-171101-3.txt	stat-140325-171911-4.txt	stat-140325-172134-5.txt	stat-140325-172357-6.txt	stat-140325-172619-7.txt	stat-140325-172842-8.txt	stat-140325-173105-9.txt	stat-140325-173328-10.txt	stat-140325-173551-11.txt	stat-140325-173813-12.txt	stat-140325-174036-13.txt	stat-140325-174259-14.txt	stat-140325-174521-15.txt	stat-140325-174744-16.txt	stat-140325-175006-17.txt	stat-140325-175228-18.txt
0	3	3	4	1	3	3	3	2	1	2	2	2	1	3	3	2	3	2	
1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	
2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	
3	1	1	0	2	1	2	2	1	3	1	1	2	3	1	1	1	2	2	
4	7	8	7	6	7	6	2	7	4	6	6	5	5	6	7	7	6	4	
5	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	3	
6	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	2	
7	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	4	
8	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
9	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
10	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	27	15	0	14	74	14	0	1	98	9	0	22	128	16	80	62	2	0	
14	56	120	135	121	61	121	135	134	37	126	135	113	7	119	55	73	133	135	
15	51	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
16	7	57	50	57	57	48	57	57	57	57	57	57	57	57	57	57	57	57	
17	57	5	7	4	5	9	3	5	5	5	0	0	5	5	5	5	5	5	
18	5	1	5	1	1	5	2	0	1	1	5	5	1	1	1	1	1	1	
19	1	3	1	1	3	1	1	1	3	3	1	1	3	3	3	3	3	2	
20	3	5	3	3	5	3	3	3	5	5	3	3	5	5	5	5	5	1	
21	5	1	5	5	1	5	5	5	1	0	5	5	1	0	1	1	1	5	
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
24	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
28	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	
29	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	
30	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
35	1	1	1	3	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
36	1	1	1	1	1	1	1	1	3	1	1	1	3	1	3	3	1	1	
37	1	3	3	3	3	3	3	3	1	3	3	3	1	3	1	0	3	3	
38	3	1	1	1	1	3	1	1	0	1	1	1	3	1	5	1	1	1	
39	1	3	3	3	3	3	3	3	3	3	3	5	1	3	1	3	3	3	
40	3	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	
41	1	1	1	1	1	1	1	1	3	1	1	1	15	1	12	3	1	1	
42	1	15	15	17	17	15	15	17	15	15	15	15	3	17	3	15	17	17	
43	20	6	5	3	23	3	3	3	32	3	3	10	31	3	21	11	3	3	
44	3	26	29	29	9	31	29	29	3	29	29	24	3	29	11	21	29	29	
45	27	3	3	3	3	3	3	3	0	3	3	3	0	3	3	3	3	3	
46	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
47	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
51	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
52	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	
53	2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	
54	4	2	2	2	2	2	2	2	2	2	2	2	28	2	2	2	2	2	
55	2	137	137	137	137	137	128	127	137	126	137	137	109	137	137	137	137	137	
56	88	7	2	7	7	0	9	10	7	13	9	7	7	7	9	7	7	1	
57	49	22	7	0	28	7	7	7	57	7	14	2	57	3	56	40	0	6	
58	7	37	57	57	29	57	57	57	5	57	43	55	5	54	1	17	57	57	
59	57	5	5	5	5	5	5	5	1	5	5	5	1	5	5	5	5	5	
60	5	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	
61	1	3	3	3	3	3	3	3	2	3	3	3	5	3	3	3	3	3	
62	3	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	
63	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
64	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	
65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
68	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	
69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
