Time	stat-140325-141141-1.txt	stat-140325-141803-2.txt	stat-140325-142325-3.txt	stat-140325-142843-4.txt	stat-140325-143543-5.txt	stat-140325-144118-6.txt	stat-140325-144646-7.txt	stat-140325-145638-8.txt	stat-140325-150236-9.txt	stat-140325-150735-10.txt	stat-140325-151320-11.txt	stat-140325-151904-12.txt	stat-140325-152845-13.txt	stat-140325-153619-14.txt	stat-140325-155215-15.txt	stat-140325-160153-16.txt	stat-140325-160905-17.txt	stat-140325-161439-18.txt
0	3	2	2	2	1	2	2	3	2	2	2	4	2	1	1	3	1	1	
1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	3	
2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	
3	0	1	1	1	3	1	1	2	1	1	2	0	1	3	2	1	2	4	
4	7	6	7	6	5	6	6	7	6	6	2	7	6	5	5	6	5	2	
5	2	2	1	1	2	2	1	1	2	1	4	1	2	2	2	2	1	1	
6	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	
7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
9	2	2	2	2	2	2	2	2	2	4	0	2	2	2	2	2	2	0	
10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	
24	16	72	21	17	17	53	70	0	8	66	0	0	5	114	20	6	19	1	
25	105	49	100	104	104	68	51	25	113	55	121	0	116	7	101	115	102	1	
26	1	1	1	1	1	1	1	96	1	1	1	121	1	1	1	1	1	1	
27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	
28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
29	3	3	3	3	3	3	3	1	3	3	3	1	3	5	3	1	3	3	
30	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1	1	5	
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
32	5	5	5	5	5	7	5	1	5	5	7	1	7	5	5	1	5	20	
33	1	1	1	1	1	1	1	7	1	1	1	4	55	1	1	5	1	35	
34	55	57	55	55	55	55	55	1	4	57	22	1	1	55	26	3	57	1	
35	1	1	1	1	1	1	1	55	53	1	33	1	1	1	29	55	1	1	
36	1	1	1	1	1	1	1	1	1	1	1	45	0	1	3	0	1	1	
37	1	1	1	1	1	1	1	1	1	1	1	9	3	1	1	1	0	1	
38	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	
39	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	
41	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	
42	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	3	
43	1	3	3	3	3	3	3	1	1	0	1	3	3	3	1	1	1	1	
44	3	1	1	1	1	1	1	1	3	3	3	1	1	1	3	1	3	1	
45	1	1	3	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1	
46	3	1	1	1	0	1	1	1	1	1	1	3	1	1	1	1	1	1	
47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	
48	1	1	1	1	3	3	1	1	1	1	1	1	1	3	1	1	1	1	
49	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	
50	1	1	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
51	1	3	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	
52	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
53	1	1	1	1	1	1	3	1	1	1	1	1	1	3	1	1	1	1	
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	
